#------------------------------------------------------
# Timeseries retrieved from the MATROOS series database
# Created at Mon Feb 26 16:12:12 CET 2018
#------------------------------------------------------
# Location    : bath
# Position    : (4.210261,51.400048)
# Source      : observed
# Unit        : waterlevel_astro
# Analyse time: 000000000000
# Timezone    : GMT
#------------------------------------------------------
201312050000   -0.3600
201312050010   -0.2600
201312050020   -0.1600
201312050030   -0.0700
201312050040   0.0300
201312050050   0.1400
201312050100   0.2600
201312050110   0.4000
201312050120   0.5600
201312050130   0.7500
201312050140   0.9700
201312050150   1.2300
201312050200   1.5200
201312050210   1.8200
201312050220   2.1300
201312050230   2.4300
201312050240   2.7100
201312050250   2.9400
201312050300   3.1200
201312050310   3.2300
201312050320   3.2900
201312050330   3.2900
201312050340   3.2300
201312050350   3.1400
201312050400   3.0300
201312050410   2.8900
201312050420   2.7500
201312050430   2.5900
201312050440   2.4400
201312050450   2.2800
201312050500   2.1100
201312050510   1.9400
201312050520   1.7700
201312050530   1.5900
201312050540   1.4200
201312050550   1.2500
201312050600   1.0900
201312050610   0.9300
201312050620   0.7700
201312050630   0.6100
201312050640   0.4400
201312050650   0.2700
201312050700   0.0900
201312050710   -0.1000
201312050720   -0.3000
201312050730   -0.5000
201312050740   -0.6900
201312050750   -0.8700
201312050800   -1.0400
201312050810   -1.1900
201312050820   -1.3200
201312050830   -1.4500
201312050840   -1.5700
201312050850   -1.6900
201312050900   -1.8100
201312050910   -1.9500
201312050920   -2.0800
201312050930   -2.2100
201312050940   -2.3200
201312050950   -2.4100
201312051000   -2.4600
201312051010   -2.4700
201312051020   -2.4300
201312051030   -2.3500
201312051040   -2.2300
201312051050   -2.0800
201312051100   -1.9100
201312051110   -1.7300
201312051120   -1.5500
201312051130   -1.3800
201312051140   -1.2100
201312051150   -1.0500
201312051200   -0.8900
201312051210   -0.7500
201312051220   -0.6000
201312051230   -0.4700
201312051240   -0.3400
201312051250   -0.2100
201312051300   -0.0800
201312051310   0.0400
201312051320   0.1700
201312051330   0.3200
201312051340   0.4800
201312051350   0.6800
201312051400   0.9200
201312051410   1.1900
201312051420   1.4900
201312051430   1.8200
201312051440   2.1600
201312051450   2.4900
201312051500   2.7900
201312051510   3.0500
201312051520   3.2500
201312051530   3.3800
201312051540   3.4400
201312051550   3.4400
201312051600   3.3900
201312051610   3.3000
201312051620   3.1800
201312051630   3.0400
201312051640   2.8900
201312051650   2.7400
201312051700   2.5800
201312051710   2.4300
201312051720   2.2800
201312051730   2.1200
201312051740   1.9600
201312051750   1.8000
201312051800   1.6300
201312051810   1.4700
201312051820   1.3000
201312051830   1.1400
201312051840   0.9700
201312051850   0.8000
201312051900   0.6200
201312051910   0.4400
201312051920   0.2400
201312051930   0.0400
201312051940   -0.1700
201312051950   -0.3700
201312052000   -0.5700
201312052010   -0.7500
201312052020   -0.9100
201312052030   -1.0600
201312052040   -1.1900
201312052050   -1.3000
201312052100   -1.4100
201312052110   -1.5200
201312052120   -1.6400
201312052130   -1.7600
201312052140   -1.8900
201312052150   -2.0100
201312052200   -2.1200
201312052210   -2.2000
201312052220   -2.2500
201312052230   -2.2500
201312052240   -2.2000
201312052250   -2.1100
201312052300   -1.9800
201312052310   -1.8100
201312052320   -1.6300
201312052330   -1.4400
201312052340   -1.2500
201312052350   -1.0700
201312060000   -0.9100
201312060010   -0.7600
201312060020   -0.6300
201312060030   -0.5100
201312060040   -0.4000
201312060050   -0.3000
201312060100   -0.2000
201312060110   -0.1000
201312060120   -0.0100
201312060130   0.0800
201312060140   0.1900
201312060150   0.3000
201312060200   0.4300
201312060210   0.5900
201312060220   0.7900
201312060230   1.0100
201312060240   1.2800
201312060250   1.5700
201312060300   1.8700
201312060310   2.1700
201312060320   2.4500
201312060330   2.7100
201312060340   2.9100
201312060350   3.0600
201312060400   3.1500
201312060410   3.1900
201312060420   3.1700
201312060430   3.1100
201312060440   3.0200
201312060450   2.9100
201312060500   2.7800
201312060510   2.6400
201312060520   2.4900
201312060530   2.3400
