#------------------------------------------------------
# Timeseries retrieved from the MATROOS series database
# Created at Tue Feb 27 09:20:54 CET 2018
#------------------------------------------------------
# Location    : cadzand
# Position    : (3.376422,51.380190)
# Source      : observed
# Unit        : waterlevel_astro
# Analyse time: 000000000000
# Timezone    : GMT
#------------------------------------------------------
201312050000   0.4500
201312050010   0.7100
201312050020   0.9900
201312050030   1.2900
201312050040   1.5900
201312050050   1.8600
201312050100   2.1000
201312050110   2.2800
201312050120   2.4000
201312050130   2.4500
201312050140   2.4500
201312050150   2.4100
201312050200   2.3300
201312050210   2.2400
201312050220   2.1400
201312050230   2.0500
201312050240   1.9600
201312050250   1.8900
201312050300   1.8200
201312050310   1.7500
201312050320   1.6800
201312050330   1.5900
201312050340   1.4900
201312050350   1.3700
201312050400   1.2400
201312050410   1.1000
201312050420   0.9600
201312050430   0.8100
201312050440   0.6600
201312050450   0.5100
201312050500   0.3500
201312050510   0.1900
201312050520   0.0200
201312050530   -0.1600
201312050540   -0.3400
201312050550   -0.5100
201312050600   -0.6900
201312050610   -0.8600
201312050620   -1.0200
201312050630   -1.1700
201312050640   -1.3100
201312050650   -1.4400
201312050700   -1.5700
201312050710   -1.6900
201312050720   -1.8000
201312050730   -1.9000
201312050740   -1.9800
201312050750   -2.0500
201312050800   -2.0900
201312050810   -2.1100
201312050820   -2.0900
201312050830   -2.0500
201312050840   -1.9800
201312050850   -1.8900
201312050900   -1.8000
201312050910   -1.7000
201312050920   -1.6100
201312050930   -1.5200
201312050940   -1.4300
201312050950   -1.3500
201312051000   -1.2800
201312051010   -1.2000
201312051020   -1.1100
201312051030   -1.0100
201312051040   -0.9100
201312051050   -0.8100
201312051100   -0.7000
201312051110   -0.6000
201312051120   -0.5000
201312051130   -0.4000
201312051140   -0.2800
201312051150   -0.1500
201312051200   0.0100
201312051210   0.2000
201312051220   0.4400
201312051230   0.7100
201312051240   1.0100
201312051250   1.3300
201312051300   1.6500
201312051310   1.9400
201312051320   2.1900
