#------------------------------------------------------
# Timeseries retrieved from the MATROOS series database
# Created at Mon Feb 26 16:12:11 CET 2018
#------------------------------------------------------
# Location    : hansweert
# Position    : (3.997696,51.446618)
# Source      : observed
# Unit        : waterlevel_astro
# Analyse time: 000000000000
# Timezone    : GMT
#------------------------------------------------------
201312050000   -0.2800
201312050010   -0.1700
201312050020   -0.0500
201312050030   0.0800
201312050040   0.2200
201312050050   0.3900
201312050100   0.5900
201312050110   0.8100
201312050120   1.0600
201312050130   1.3400
201312050140   1.6300
201312050150   1.9100
201312050200   2.1800
201312050210   2.4200
201312050220   2.6100
201312050230   2.7500
201312050240   2.8300
201312050250   2.8700
201312050300   2.8600
201312050310   2.8200
201312050320   2.7600
201312050330   2.6900
201312050340   2.6100
201312050350   2.5400
201312050400   2.4600
201312050410   2.3800
201312050420   2.2800
201312050430   2.1700
201312050440   2.0300
201312050450   1.8800
201312050500   1.7000
201312050510   1.5200
201312050520   1.3300
201312050530   1.1400
201312050540   0.9500
201312050550   0.7700
201312050600   0.6000
201312050610   0.4400
201312050620   0.2700
201312050630   0.1000
201312050640   -0.0700
201312050650   -0.2400
201312050700   -0.4200
201312050710   -0.6000
201312050720   -0.7800
201312050730   -0.9400
201312050740   -1.1000
201312050750   -1.2500
201312050800   -1.3900
201312050810   -1.5300
201312050820   -1.6700
201312050830   -1.8100
201312050840   -1.9400
201312050850   -2.0700
201312050900   -2.1800
201312050910   -2.2700
201312050920   -2.3300
201312050930   -2.3500
201312050940   -2.3400
201312050950   -2.2900
201312051000   -2.2000
201312051010   -2.0800
201312051020   -1.9500
201312051030   -1.8100
201312051040   -1.6600
201312051050   -1.5200
201312051100   -1.3900
201312051110   -1.2600
201312051120   -1.1400
201312051130   -1.0200
201312051140   -0.9000
201312051150   -0.7800
201312051200   -0.6500
201312051210   -0.5300
201312051220   -0.4100
201312051230   -0.2900
201312051240   -0.1600
201312051250   -0.0200
201312051300   0.1300
201312051310   0.3000
201312051320   0.5100
201312051330   0.7500
201312051340   1.0200
201312051350   1.3200
201312051400   1.6300
201312051410   1.9500
201312051420   2.2400
201312051430   2.5000
201312051440   2.7100
201312051450   2.8700
201312051500   2.9600
201312051510   2.9900
201312051520   2.9800
201312051530   2.9400
201312051540   2.8800
201312051550   2.8000
201312051600   2.7300
201312051610   2.6600
201312051620   2.5900
201312051630   2.5200
201312051640   2.4400
201312051650   2.3400
201312051700   2.2100
201312051710   2.0700
201312051720   1.9100
201312051730   1.7300
201312051740   1.5400
201312051750   1.3400
201312051800   1.1500
201312051810   0.9600
201312051820   0.7800
201312051830   0.6000
201312051840   0.4300
201312051850   0.2500
201312051900   0.0700
201312051910   -0.1100
201312051920   -0.2900
201312051930   -0.4700
201312051940   -0.6400
201312051950   -0.8000
201312052000   -0.9500
201312052010   -1.1000
201312052020   -1.2300
201312052030   -1.3600
201312052040   -1.4900
201312052050   -1.6200
201312052100   -1.7500
201312052110   -1.8800
201312052120   -1.9900
201312052130   -2.0700
201312052140   -2.1300
201312052150   -2.1500
201312052200   -2.1300
201312052210   -2.0700
201312052220   -1.9700
201312052230   -1.8400
201312052240   -1.6900
201312052250   -1.5400
201312052300   -1.3900
201312052310   -1.2400
201312052320   -1.1100
201312052330   -1.0000
201312052340   -0.8900
201312052350   -0.7900
201312060000   -0.7000
201312060010   -0.6100
201312060020   -0.5100
201312060030   -0.4200
201312060040   -0.3200
201312060050   -0.2200
201312060100   -0.1200
201312060110   -0.0100
201312060120   0.1100
201312060130   0.2600
201312060140   0.4300
201312060150   0.6300
201312060200   0.8600
201312060210   1.1200
201312060220   1.4000
201312060230   1.6800
201312060240   1.9600
201312060250   2.2000
201312060300   2.4200
201312060310   2.5800
201312060320   2.6900
201312060330   2.7500
201312060340   2.7700
201312060350   2.7500
201312060400   2.7100
201312060410   2.6500
201312060420   2.5900
201312060430   2.5300
201312060440   2.4700
201312060450   2.3900
201312060500   2.3100
201312060510   2.2000
201312060520   2.0800
201312060530   1.9400
201312060540   1.7700
201312060550   1.6000
201312060600   1.4200
201312060610   1.2300
201312060620   1.0500
201312060630   0.8700
201312060640   0.7000
201312060650   0.5400
201312060700   0.3700
201312060710   0.2000
201312060720   0.0300
201312060730   -0.1500
201312060740   -0.3300
201312060750   -0.5100
201312060800   -0.6800
201312060810   -0.8500
201312060820   -1.0100
201312060830   -1.1600
201312060840   -1.3100
201312060850   -1.4500
201312060900   -1.5900
201312060910   -1.7300
201312060920   -1.8700
201312060930   -2.0000
201312060940   -2.1300
201312060950   -2.2400
201312061000   -2.3200
201312061010   -2.3800
201312061020   -2.3900
201312061030   -2.3700
201312061040   -2.3100
201312061050   -2.2200
201312061100   -2.1100
201312061110   -1.9900
201312061120   -1.8500
201312061130   -1.7200
201312061140   -1.5800
201312061150   -1.4500
201312061200   -1.3200
201312061210   -1.1900
201312061220   -1.0600
201312061230   -0.9300
201312061240   -0.8000
201312061250   -0.6800
201312061300   -0.5500
201312061310   -0.4300
201312061320   -0.3100
201312061330   -0.1800
201312061340   -0.0400
201312061350   0.1200
201312061400   0.3100
201312061410   0.5400
201312061420   0.7900
201312061430   1.0800
201312061440   1.3900
201312061450   1.7000
201312061500   2.0100
201312061510   2.2800
201312061520   2.5200
201312061530   2.7000
201312061540   2.8300
201312061550   2.9000
201312061600   2.9200
201312061610   2.9100
201312061620   2.8800
201312061630   2.8300
201312061640   2.7700
201312061650   2.7100
201312061700   2.6500
201312061710   2.5900
201312061720   2.5100
201312061730   2.4200
201312061740   2.3100
201312061750   2.1800
201312061800   2.0200
201312061810   1.8600
201312061820   1.6800
201312061830   1.4900
201312061840   1.3100
201312061850   1.1300
201312061900   0.9500
201312061910   0.7700
201312061920   0.5900
201312061930   0.4100
201312061940   0.2300
201312061950   0.0500
201312062000   -0.1400
201312062010   -0.3200
201312062020   -0.4900
201312062030   -0.6600
201312062040   -0.8100
201312062050   -0.9600
201312062100   -1.0900
201312062110   -1.2300
201312062120   -1.3600
201312062130   -1.4900
201312062140   -1.6200
201312062150   -1.7400
201312062200   -1.8600
201312062210   -1.9600
201312062220   -2.0400
201312062230   -2.0800
201312062240   -2.0800
201312062250   -2.0400
201312062300   -1.9700
201312062310   -1.8600
201312062320   -1.7400
201312062330   -1.6000
201312062340   -1.4600
201312062350   -1.3200
201312070000   -1.1900

