#------------------------------------------------------
# Timeseries retrieved from the MATROOS series database
# Created at Mon Feb 26 16:12:08 CET 2018
#------------------------------------------------------
# Location    : bath
# Position    : (4.210261,51.400048)
# Source      : observed
# Unit        : waterlevel
# Analyse time: 
# Timezone    : GMT
#------------------------------------------------------
201312050000   -0.23
201312050010   -0.12
201312050020   0.00
201312050030   0.10
201312050040   0.22
201312050050   0.32
201312050100   0.42
201312050110   0.54
201312050120   0.66
201312050130   0.82
201312050140   0.99
201312050150   1.20
201312050200   1.44
201312050210   1.74
201312050220   2.10
201312050230   2.46
201312050240   2.76
201312050250   3.00
201312050300   3.16
201312050310   3.26
201312050320   3.31
201312050330   3.32
201312050340   3.31
201312050350   3.26
201312050400   3.17
201312050410   3.07
201312050420   2.94
201312050430   2.80
201312050440   2.64
201312050450   2.47
201312050500   2.32
201312050510   2.16
201312050520   1.99
201312050530   1.83
201312050540   1.67
201312050550   1.52
201312050600   1.35
201312050610   1.18
201312050620   1.00
201312050630   0.82
201312050640   0.64
201312050650   0.44
201312050700   0.24
201312050710   0.04
201312050720   -0.17
201312050730   -0.35
201312050740   -0.54
201312050750   -0.73
201312050800   -0.90
201312050810   -1.06
201312050820   -1.21
201312050830   -1.36
201312050840   -1.49
201312050850   -1.63
201312050900   -1.76
201312050910   -1.88
201312050920   -2.00
201312050930   -2.09
201312050940   -2.18
201312050950   -2.27
201312051000   -2.31
201312051010   -2.35
201312051020   -2.32
201312051030   -2.23
201312051040   -2.09
201312051050   -1.89
201312051100   -1.71
201312051110   -1.56
201312051120   -1.40
201312051130   -1.25
201312051140   -1.10
201312051150   -0.95
201312051200   -0.80
201312051210   -0.67
201312051220   -0.53
201312051230   -0.38
201312051240   -0.26
201312051250   -0.13
201312051300   -0.02
201312051310   0.11
201312051320   0.25
201312051330   0.37
201312051340   0.55
201312051350   0.73
201312051400   0.97
201312051410   1.26
201312051420   1.62
201312051430   2.01
201312051440   2.39
201312051450   2.73
201312051500   3.00
201312051510   3.19
201312051520   3.31
201312051530   3.37
201312051540   3.40
201312051550   3.40
201312051600   3.38
201312051610   3.31
201312051620   3.25
201312051630   3.13
201312051640   3.01
201312051650   2.89
201312051700   2.74
201312051710   2.58
201312051720   2.41
201312051730   2.25
201312051740   2.11
201312051750   1.97
201312051800   1.82
201312051810   1.69
201312051820   1.56
201312051830   1.46
201312051840   1.41
201312051850   1.33
201312051900   1.23
201312051910   1.11
201312051920   0.99
201312051930   0.88
201312051940   0.73
201312051950   0.58
201312052000   0.43
201312052010   0.28
201312052020   0.13
201312052030   -0.01
201312052040   -0.13
201312052050   -0.25
201312052100   -0.35
201312052110   -0.47
201312052120   -0.55
201312052130   -0.52
201312052140   -0.39
201312052150   -0.24
201312052200   -0.05
201312052210   0.14
201312052220   0.35
201312052230   0.57
201312052240   0.73
201312052250   0.88
201312052300   1.02
201312052310   1.15
201312052320   1.27
201312052330   1.41
201312052340   1.52
201312052350   1.63
201312060000   1.75
201312060010   1.86
201312060020   1.96
201312060030   2.04
201312060040   2.13
201312060050   2.23
201312060100   2.34
201312060110   2.45
201312060120   2.56
201312060130   2.70
201312060140   2.82
201312060150   2.92
201312060200   3.02
201312060210   3.13
201312060220   3.24
201312060230   3.35
201312060240   3.48
201312060250   3.64
201312060300   3.82
201312060310   4.04
201312060320   4.23
201312060330   4.39
201312060340   4.53
201312060350   4.62
201312060400   4.68
201312060410   4.72
201312060420   4.70
201312060430   4.62
201312060440   4.49
201312060450   4.39
201312060500   4.27
201312060510   4.10
201312060520   3.93
201312060530   3.76
201312060540   3.58
201312060550   3.42
201312060600   3.26
201312060610   3.11
201312060620   2.95
201312060630   2.80
201312060640   2.63
201312060650   2.46
201312060700   2.30
201312060710   2.13
201312060720   1.94
201312060730   1.74
201312060740   1.53
201312060750   1.31
201312060800   1.10
201312060810   0.89
201312060820   0.69
201312060830   0.50
201312060840   0.30
201312060850   0.12
201312060900   -0.04
201312060910   -0.19
201312060920   -0.34
201312060930   -0.46
201312060940   -0.58
201312060950   -0.70
201312061000   -0.79
201312061010   -0.85
201312061020   -0.91
201312061030   -0.95
201312061040   -0.98
201312061050   -0.98
201312061100   -0.91
201312061110   -0.79
201312061120   -0.66
201312061130   -0.46
201312061140   -0.28
201312061150   -0.10
201312061200   0.06
201312061210   0.22
201312061220   0.39
201312061230   0.53
201312061240   0.65
201312061250   0.77
201312061300   0.89
201312061310   1.00
201312061320   1.08
201312061330   1.16
201312061340   1.25
201312061350   1.35
201312061400   1.44
201312061410   1.52
201312061420   1.65
201312061430   1.76
201312061440   1.86
201312061450   1.99
201312061500   2.17
201312061510   2.34
201312061520   2.56
201312061530   2.85
