#------------------------------------------------------
# Timeseries retrieved from the MATROOS series database
# Created at Mon Feb 26 16:12:07 CET 2018
#------------------------------------------------------
# Location    : hansweert
# Position    : (3.997696,51.446618)
# Source      : observed
# Unit        : waterlevel
# Analyse time: 
# Timezone    : GMT
#------------------------------------------------------
201312050000   -0.11
201312050010   0.00
201312050020   0.11
201312050030   0.24
201312050040   0.35
201312050050   0.49
201312050100   0.65
201312050110   0.82
201312050120   1.03
201312050130   1.29
201312050140   1.58
201312050150   1.94
201312050200   2.27
201312050210   2.56
201312050220   2.76
201312050230   2.88
201312050240   2.93
201312050250   2.95
201312050300   2.95
201312050310   2.95
201312050320   2.93
201312050330   2.88
201312050340   2.82
201312050350   2.75
201312050400   2.66
201312050410   2.58
201312050420   2.47
201312050430   2.36
201312050440   2.23
201312050450   2.08
201312050500   1.92
201312050510   1.77
201312050520   1.59
201312050530   1.42
201312050540   1.24
201312050550   1.06
201312050600   0.89
201312050610   0.71
201312050620   0.53
201312050630   0.34
201312050640   0.15
201312050650   -0.03
201312050700   -0.22
201312050710   -0.4
201312050720   -0.58
201312050730   -0.76
201312050740   -0.92
201312050750   -1.08
201312050800   -1.23
201312050810   -1.37
201312050820   -1.51
201312050830   -1.65
201312050840   -1.78
201312050850   -1.88
201312050900   -1.99
201312050910   -2.08
201312050920   -2.14
201312050930   -2.17
201312050940   -2.16
201312050950   -2.11
201312051000   -2.02
201312051010   -1.89
201312051020   -1.74
201312051030   -1.61
201312051040   -1.47
201312051050   -1.36
201312051100   -1.26
201312051110   -1.15
201312051120   -1.05
201312051130   -0.94
201312051140   -0.84
201312051150   -0.71
201312051200   -0.59
201312051210   -0.47
201312051220   -0.36
201312051230   -0.24
201312051240   -0.11
201312051250   0.03
201312051300   0.19
201312051310   0.36
201312051320   0.55
201312051330   0.8
201312051340   1.1
201312051350   1.46
201312051400   1.85
201312051410   2.19
201312051420   2.47
201312051430   2.68
201312051440   2.81
201312051450   2.9
201312051500   2.91
201312051510   2.92
201312051520   2.94
201312051530   2.94
201312051540   2.94
201312051550   2.92
201312051600   2.85
201312051610   2.79
201312051620   2.72
201312051630   2.6
201312051640   2.47
201312051650   2.34
201312051700   2.23
201312051710   2.11
201312051720   1.95
201312051730   1.82
201312051740   1.7
201312051750   1.59
201312051800   1.54
201312051810   1.5
201312051820   1.41
201312051830   1.3
201312051840   1.19
201312051850   1.09
201312051900   0.98
201312051910   0.81
201312051920   0.67
201312051930   0.52
201312051940   0.37
201312051950   0.21
201312052000   0.08
201312052010   -0.01
201312052020   -0.09
201312052030   -0.22
201312052040   -0.34
201312052050   -0.35
201312052100   -0.25
201312052110   -0.14
201312052120   -0.03
201312052130   0.12
201312052140   0.28
201312052150   0.42
201312052200   0.57
201312052210   0.68
201312052220   0.76
201312052230   0.84
201312052240   0.92
201312052250   1.03
201312052300   1.14
201312052310   1.24
201312052320   1.36
201312052330   1.49
201312052340   1.61
201312052350   1.72
201312060000   1.81
201312060010   1.9
201312060020   2.01
201312060030   2.12
201312060040   2.22
201312060050   2.34
201312060100   2.47
201312060110   2.6
201312060120   2.69
201312060130   2.78
201312060140   2.9
201312060150   3.02
201312060200   3.13
201312060210   3.28
201312060220   3.43
201312060230   3.62
201312060240   3.86
201312060250   4.06
201312060300   4.19
201312060310   4.31
201312060320   4.38
201312060330   4.4
201312060340   4.43
201312060350   4.41
201312060400   4.31
201312060410   4.19
201312060420   4.14
201312060430   4.1
201312060440   3.98
201312060450   3.91
201312060500   3.79
201312060510   3.64
201312060520   3.52
201312060530   3.36
201312060540   3.21
201312060550   3.06
201312060600   2.86
201312060610   2.68
201312060620   2.5
201312060630   2.31
201312060640   2.12
201312060650   1.92
201312060700   1.73
201312060710   1.54
201312060720   1.35
201312060730   1.17
201312060740   0.98
201312060750   0.81
201312060800   0.62
201312060810   0.44
201312060820   0.26
201312060830   0.1
201312060840   -0.04
201312060850   -0.17
201312060900   -0.31
201312060910   -0.44
201312060920   -0.54
201312060930   -0.63
201312060940   -0.71
201312060950   -0.78
201312061000   -0.83
201312061010   -0.84
201312061020   -0.81
201312061030   -0.75
201312061040   -0.66
201312061050   -0.54
201312061100   -0.38
201312061110   -0.24
201312061120   -0.12
201312061130   0.00
201312061140   0.13
201312061150   0.25
201312061200   0.33
201312061210   0.41
201312061220   0.52
201312061230   0.63
201312061240   0.7
201312061250   0.8
