#------------------------------------------------------
# Timeseries retrieved from the MATROOS series database
# Created at Mon Feb 26 16:12:06 CET 2018
#------------------------------------------------------
# Location    : terneuzen
# Position    : (3.820107,51.337192)
# Source      : observed
# Unit        : waterlevel
# Analyse time: 
# Timezone    : GMT
#------------------------------------------------------
201312050000   -0.01
201312050010   0.08
201312050020   0.21
201312050030   0.36
201312050040   0.53
201312050050   0.73
201312050100   0.96
201312050110   1.23
201312050120   1.54
201312050130   1.89
201312050140   2.13
201312050150   2.46
201312050200   2.71
201312050210   2.84
201312050220   2.86
201312050230   2.88
201312050240   2.85
201312050250   2.79
201312050300   2.69
201312050310   2.6
201312050320   2.5
201312050330   2.42
201312050340   2.35
201312050350   2.28
201312050400   2.19
201312050410   2.09
201312050420   1.99
201312050430   1.88
201312050440   1.76
201312050450   1.62
201312050500   1.47
201312050510   1.32
201312050520   1.13
201312050530   0.94
201312050540   0.74
201312050550   0.55
201312050600   0.37
201312050610   0.17
201312050620   -0.03
201312050630   -0.22
201312050640   -0.41
201312050650   -0.57
201312050700   -0.73
201312050710   -0.87
201312050720   -1.03
201312050730   -1.17
201312050740   -1.3
201312050750   -1.43
201312050800   -1.57
201312050810   -1.67
201312050820   -1.79
201312050830   -1.9
201312050840   -1.99
201312050850   -2.04
201312050900   -2.08
201312050910   -2.1
201312050920   -2.01
201312050930   -1.98
201312050940   -1.87
201312050950   -1.75
201312051000   -1.64
201312051010   -1.54
201312051020   -1.45
201312051030   -1.36
201312051040   -1.27
201312051050   -1.17
201312051100   -1.09
201312051110   -0.99
201312051120   -0.89
201312051130   -0.79
201312051140   -0.67
201312051150   -0.6
201312051200   -0.52
201312051210   -0.39
201312051220   -0.25
201312051230   -0.11
201312051240   0.03
201312051250   0.18
201312051300   0.41
201312051310   0.69
201312051320   1
201312051330   1.36
201312051340   1.74
201312051350   2.09
201312051400   2.39
201312051410   2.6
201312051420   2.73
201312051430   2.77
201312051440   2.77
201312051450   2.74
201312051500   2.69
201312051510   2.63
201312051520   2.56
201312051530   2.5
201312051540   2.42
201312051550   2.38
201312051600   2.31
201312051610   2.22
201312051620   2.14
201312051630   2.04
201312051640   1.97
201312051650   1.91
201312051700   1.82
201312051710   1.73
201312051720   1.66
201312051730   1.63
201312051740   1.62
201312051750   1.55
201312051800   1.47
201312051810   1.34
201312051820   1.22
201312051830   1.11
201312051840   0.96
201312051850   0.79
201312051900   0.64
201312051910   0.49
201312051920   0.34
201312051930   0.21
201312051940   0.14
201312051950   0.08
201312052000   -0.03
201312052010   -0.18
201312052020   -0.22
201312052030   -0.13
201312052040   -0.04
201312052050   0.05
201312052100   0.14
201312052110   0.28
201312052120   0.38
201312052130   0.55
201312052140   0.65
201312052150   0.72
201312052200   0.79
201312052210   0.86
201312052220   0.92
201312052230   1.01
201312052240   1.08
201312052250   1.17
201312052300   1.28
201312052310   1.39
201312052320   1.49
201312052330   1.58
201312052340   1.64
201312052350   1.73
201312060000   1.85
201312060010   1.96
201312060020   2.05
201312060030   2.21
201312060040   2.34
201312060050   2.46
201312060100   2.54
201312060110   2.64
201312060120   2.76
201312060130   2.86
201312060140   2.97
201312060150   3.12
201312060200   3.29
201312060210   3.49
201312060220   3.73
201312060230   3.93
201312060240   4.08
201312060250   4.2
201312060300   4.27
201312060310   4.29
201312060320   4.31
201312060330   4.25
201312060340   4.12
201312060350   3.97
201312060400   3.93
201312060410   3.84
201312060420   3.74
201312060430   3.61
201312060440   3.47
201312060450   3.4
201312060500   3.3
201312060510   3.19
201312060520   3.12
201312060530   2.95
201312060540   2.78
201312060550   2.62
201312060600   2.44
201312060610   2.23
201312060620   2.03
201312060630   1.82
201312060640   1.61
201312060650   1.41
201312060700   1.19
201312060710   0.98
201312060720   0.81
201312060730   0.62
201312060740   0.47
201312060750   0.34
201312060800   0.19
201312060810   0.06
201312060820   -0.05
201312060830   -0.18
201312060840   -0.28
201312060850   -0.39
201312060900   -0.48
201312060910   -0.53
201312060920   -0.61
201312060930   -0.66
201312060940   -0.7
201312060950   -0.71
201312061000   -0.65
201312061010   -0.58
201312061020   -0.54
201312061030   -0.4
201312061040   -0.25
201312061050   -0.19
201312061100   -0.06
201312061110   0.04
201312061120   0.13
201312061130   0.25
201312061140   0.28
201312061150   0.36
201312061200   0.47
201312061210   0.54
201312061220   0.62
201312061230   0.7
201312061240   0.77
201312061250   0.88
201312061300   0.98
201312061310   1.04
201312061320   1.16
201312061330   1.28
201312061340   1.38
201312061350   1.51
201312061400   1.69
201312061410   1.86
201312061420   2.04
201312061430   2.29
201312061440   2.56
201312061450   2.9
201312061500   3.2
201312061510   3.48
201312061520   3.65
201312061530   3.73
201312061540   3.72
201312061550   3.69
201312061600   3.6
201312061610   3.5
201312061620   3.37
201312061630   3.27
201312061640   3.17
201312061650   3.09
201312061700   3.02
201312061710   2.92
201312061720   2.79
201312061730   2.67
201312061740   2.56
201312061750   2.44
201312061800   2.29
201312061810   2.11
201312061820   1.93
201312061830   1.75
201312061840   1.56
201312061850   1.36
201312061900   1.14
201312061910   0.91
201312061920   0.68
201312061930   0.47
201312061940   0.24
201312061950   0.04
201312062000   -0.13
201312062010   -0.33
201312062020   -0.48
201312062030   -0.65
201312062040   -0.8
201312062050   -0.95
201312062100   -1.08
201312062110   -1.25
201312062120   -1.34
201312062130   -1.44
201312062140   -1.55
201312062150   -1.61
201312062200   -1.64
201312062210   -1.66
201312062220   -1.68
201312062230   -1.66
201312062240   -1.6
201312062250   -1.49
201312062300   -1.39
201312062310   -1.3
201312062320   -1.2
201312062330   -1.08
201312062340   -0.98
201312062350   -0.84
201312070000   -0.78
