#------------------------------------------------------
# Timeseries retrieved from the MATROOS series database
# Created at Mon Feb 26 16:12:04 CET 2018
#------------------------------------------------------
# Location    : vlissingen
# Position    : (3.597577,51.443861)
# Source      : observed
# Unit        : waterlevel
# Analyse time: 000000000000
# Timezone    : GMT
#------------------------------------------------------
201312050000   0.0900
201312050010   0.2300
201312050020   0.4100
201312050030   0.6200
201312050040   0.8600
201312050050   1.1500
201312050100   1.4900
201312050110   1.8100
201312050120   2.1000
201312050130   2.3200
201312050140   2.4700
201312050150   2.5600
201312050200   2.6000
201312050210   2.6100
201312050220   2.5800
201312050230   2.5300
201312050240   2.4500
201312050250   2.3700
201312050300   2.2900
201312050310   2.2200
201312050320   2.1300
201312050330   2.0300
201312050340   1.9400
201312050350   1.8400
201312050400   1.7500
201312050410   1.6500
201312050420   1.5400
201312050430   1.4200
201312050440   1.2700
201312050450   1.1000
201312050500   0.9300
201312050510   0.7500
201312050520   0.5500
201312050530   0.3500
201312050540   0.1400
201312050550   -0.0400
201312050600   -0.2400
201312050610   -0.4300
201312050620   -0.6000
201312050630   -0.7600
201312050640   -0.9100
201312050650   -1.0600
201312050700   -1.1900
201312050710   -1.3200
201312050720   -1.4400
201312050730   -1.5600
201312050740   -1.6700
201312050750   -1.7700
201312050800   -1.8500
201312050810   -1.9200
201312050820   -1.9700
201312050830   -1.9800
201312050840   -1.9800
201312050850   -1.9500
201312050900   -1.9000
201312050910   -1.8300
201312050920   -1.7300
201312050930   -1.6400
201312050940   -1.5600
201312050950   -1.4800
201312051000   -1.3900
201312051010   -1.3200
201312051020   -1.2400
201312051030   -1.1700
201312051040   -1.1000
201312051050   -1.0200
201312051100   -0.9200
201312051110   -0.8200
201312051120   -0.7500
201312051130   -0.6700
201312051140   -0.5600
201312051150   -0.4500
201312051200   -0.3300
201312051210   -0.2100
201312051220   -0.0500
201312051230   0.1400
201312051240   0.3500
201312051250   0.6400
201312051300   0.9700
201312051310   1.3100
201312051320   1.6200
201312051330   1.9100
201312051340   2.1400
201312051350   2.2900
201312051400   2.4000
201312051410   2.4400
201312051420   2.4500
201312051430   2.4400
201312051440   2.4000
201312051450   2.3600
201312051500   2.3000
201312051510   2.2200
201312051520   2.1700
201312051530   2.0800
